proyecto_id;titulo;fecha_inicio;fecha_finalizacion;monto_financiado_solicitado;monto_financiado_adjudicado;cantidad_miembros_F;cantidad_miembros_M;cantidad_miembros_S/D;area;subarea;tipo_proyecto
19544;GENÓMICA FUNCIONAL DE LA REGULACIÓN GLOBAL DEL FLUJO DE CARBONO Y LA ACUMULACIÓN DE BIOPOLÍMEROS EN BRADYRHIZOBIUM DIAZOEFFICIENS;28/12/16;28/3/17;3000000;3000000;2;2;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19548;ESTUDIO ANATÓMICO DE CIERTOS PECES FÓSILES JURÁSICOS DE LA FORMACIÓN VACA MUERTA SOBRE LA BASE DEL USO DE TOMOGRAFÍAS COMPUTADAS, LUZ ULTRAVIOLETA Y CORTES HISTOLÓGICOS DE ESCAMAS;28/12/16;28/2/17;1280000;1280000;2;1;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19549;Rol de la cutícula en la resistencia a cancrosis bacteriana de los cítricos y sus posibles aplicaciones en el desarrollo de cultivares resistentes;25/11/16;25/1/17;1300000;1300000;4;1;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19550;Reduciendo la mortalidad incidental de aves marinas amenazadas en pesquerías: un estudio basado en el enfoque de estado, presión y respuesta;28/12/16;28/2/17;750000;750000;SIN DATOS;SIN DATOS;SIN DATOS;SIN DATOS;SIN DATOS;Ciencia
19555;Neo-angiogénesis y  Bioenérgetica: nuevos paradigmas para la búsqueda de biomarcadores con valor pronóstico en enfermedad de Alzheimer;21/10/16;21/1/17;6300000;6300000;5;2;0;SIN DATOS;SIN DATOS;Ciencia
19557;Papel del péptido antimicrobiano LL-37 en la patogénesis de la leucemia linfática crónica;4/11/16;4/2/17;7415000;7415000;6;2;0;SIN DATOS;SIN DATOS;Ciencia
19562;Desarrollo de una estrategia inmunomoduladora basada en BCG recombinante para el control profiláctico de la infección por Trypanosoma cruzi;25/11/16;25/1/17;1300000;1300000;1;4;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19566;CARACTERIZACIÓN MOLECULAR DEL RELOJ CIRCADIANO EN CULTIVOS DE RAÍCES TRANSFORMADAS DE TABACO Y SU PARTICIPACIÓN EN LA REGULACIÓN DE GENES DEL METABOLISMO DE XENOBIÓTICOS Y EN LA BIOSINTESIS DE FOSFOLIPIDOS DE MEMBRANA;11/11/16;11/1/17;1300000;1300000;1;2;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19567;Estudios funcionales de BdPAP2 y su rol en la arquitectura de la inflorescencia de Brachypodium distachyon.;25/11/16;25/1/17;1300000;1300000;2;2;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19574;Adecuación de procesos de encapsulación de componentes activos y de recubrimiento de alimentos a escenarios industriales mediante el modelado matemático de los fenómenos de transporte involucrados;25/11/16;25/2/17;7500000;7500000;5;8;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
19578;ESTRATIGRAFÍA Y GEOCRONOLÓGIA DE LAS SECUENCIAS  ORDOVÍCICAS DEL SECTOR SUR-OCCIDENTAL DEL FAMATINA;11/11/16;11/1/17;1250000;1250000;4;3;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19579;Estudio de la función de la proteína Zonda de Drosophila melanogaster en la vía autofágica.;21/10/16;21/1/17;6300000;6300000;5;5;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19584;Desarrollo de Herramientas para la aplicación al Tratamiento biológico de efluentes textiles. Alternativas de tratamiento.;28/12/16;28/2/17;1300000;1300000;1;1;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
19589;Rol de la Interleuquina-10 en la inmunosupresión inducida por endotoxinas bacterianas;4/11/16;4/2/17;6300000;6300000;5;3;0;SIN DATOS;SIN DATOS;Ciencia
19599;Variabilidad genética de Mycoplasma hyopneumoniae en cerdos provenientes de diferentes orígenes;11/11/16;11/1/17;1260000;1260000;2;2;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19600;'EFECTO DE ARSENIATO Y ARSENITO SOBRE LA TOLERANCIA, LOS MECANISMOS DE SEÑALIZACIÓN CELULAR Y LA INTERACCIÓN CON MICROORGANISMOS RIZOSFÉRICOS EN PLANTAS DE VICIA SP.';11/11/16;11/1/17;1300;1300;4;0;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19605;MODELOS CUALI-CUANTITATIVOS DE RECARGA, CIRCULACIÓN Y EDAD DE AGUAS SUBTERRÁNEAS Y SU RELACIÓN CON ESCENARIOS DE CONTAMINACIÓN AGROPECUARIA EN LLANURAS FLUVIO-EÓLICAS;11/11/16;11/2/17;6300000;6300000;18;4;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19611;Impacto de la variabilidad genética del Mycobacterium tuberculosis en la respuesta innata del epitelio bronquial humano.;4/11/16;4/2/17;6300000;6300000;8;2;0;SIN DATOS;SIN DATOS;Ciencia
19614;Evolución temprana de Sauropodomorpha (Dinosauria, Saurischia) y origen de Sauropoda: aspectos filogenéticos y biomecánicos del esqueleto postcraneano;28/12/16;28/3/17;3000000;3000000;2;5;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19616;Investigación  de la Alta Atmosfera Terrestre Aplicada a Telecomunicaciones y Cambio Climático;18/11/16;18/2/17;6300000;6300000;8;16;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19618;GLOBALIZACIÓN, TELECONEXIONES Y CAMBIOS DE USO DEL TERRITORIO EN AMERICA LATINA EN EL SIGLO 21;18/11/16;18/2/17;6300000;6300000;1;4;0;SIN DATOS;SIN DATOS;Ciencia
19629;Especies nocivas de fitoplancton marino en aguas Argentinas. Diversidad, distribución y toxicología;28/12/16;28/2/17;1300000;1300000;7;4;0;SIN DATOS;SIN DATOS;Ciencia
19630;DESARROLLO DE SISTEMAS AUTOENSAMBLADOS INTELIGENTES Y SUS APLICACIONES EN NANOCIENCIA: DESDE LA QUIMICA SOSTENIBLE HASTA LA NANOMEDICINA;11/11/16;11/2/17;6300000;6300000;12;16;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19631;Técnicas de Análisis Automático para la Verificación de Propiedades con Enumeración de Eventos en Sistemas Reactivos y sus Aplicaciones;11/11/16;11/2/17;3000000;3000000;0;8;0;SIN DATOS;SIN DATOS;Ciencia
19633;Leucemia Linfática Crónica: regulando la activación y sobrevida del clon leucémico a través de la esfingosina 1 fosfato.;4/11/16;4/2/17;6300000;6300000;6;4;0;SIN DATOS;SIN DATOS;Ciencia
19637;Estudio de potenciales emergencias químicas en escenarios urbanos y suburbanos con modelos simples y complejos;28/12/16;28/2/17;1298000;1298000;4;6;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
19638;El rol de DEPRESSED PALEA1 (DP1) y RETARDED PALEA1 (REP1) en el origen y evolución de la palea de gramíneas;25/11/16;25/1/17;1300000;1300000;1;1;0;SIN DATOS;SIN DATOS;Ciencia
19639;Caracterización estructural de las enzimas claves en la biosíntesis de la pared celular de Brucella spp.: Implicancias en el diseño de potenciales inhibidores;21/10/16;21/12/16;1300000;1300000;2;3;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19640;Evaluación del potencial de las altas presiones (dinámica e hidrostática) para el mejoramiento de las características tecnológicas y probióticas de nuevas especies de bifidobacterias para alimentos probióticos.;25/11/16;25/1/17;1300000;1300000;2;3;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
19644;METABOLISMO DE TREHALOSA EN ACTINOBACTERIAS: El nodo trehalosa-6P/trehalosa como sustrato de glucosil-fosforilasas pertenecientes a la familia GH65.;25/11/16;25/2/17;3000000;3000000;2;3;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19645;Implicancias biotecnologicas de la tolerancia diferencial a cloruros y sulfatos en Prosopis;11/11/16;11/2/17;6300000;6300000;7;4;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19647;Análisis de la partición del carbono en plantas que producen glucitol;25/11/16;25/2/17;3000000;3000000;0;3;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19648;Hacia paisajes multifuncionales: el turismo rural como integrador de servicios ecosistémicos de producción de alimentos, recreación y provisión de hábitat para vida silvestre;28/12/16;28/2/17;1191000;1191000;2;4;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19649;Estudio de reacciones fotoquímicas con interés atmosférico;28/12/16;28/2/17;1300000;1300000;5;0;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19655;Proteínas defensivas en huevos del género Pomacea (Caenogastropoda, Ampullaridae). Rasgos estructurales y funcionales asociados a la estrategia de oviposición aérea.;28/12/16;28/3/17;2980000;2980000;3;2;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19659;Estudio de nuevas tecnologías de conservación postcosecha para extender la vida útil de frutas finas: impacto sobre su calidad general y el aporte de compuestos bioactivos;25/11/16;25/1/17;1300000;1300000;6;1;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
19660;Sistemática y Tafonomía de los Plesiosaurios de la Formación La Colonia (Campaniano-Maastrichtiano), Patagonia.;28/12/16;28/2/17;1198000;1198000;4;3;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19661;EVOLUCIÓN DEL  DESARROLLO Y ESTRUCTURA DE LAS INFLORESCENCIAS EN CYNODONTEAE (CHLORIDOIDEAE-POACEAE);25/11/16;25/2/17;6300000;6300000;3;2;0;SIN DATOS;SIN DATOS;Ciencia
19663;Interacción del óxido nítrico, el ácido abscísico y el receptor UVR8 en respuesta a la radiación ultravioleta b (UV-B). Análisis de los mecanismos de degradación y transporte de UVR8.;28/12/16;28/2/17;1300000;1300000;3;3;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19664;Señales acústicas involucradas en el comportamiento reproductivo y territorial del cangrejo semiterrestre cavador Neohelice granulata (Brachyura, Varunidae) y su enmascaramiento producido por sonidos antropogénicos;28/12/16;28/3/17;3000000;3000000;4;2;0;SIN DATOS;SIN DATOS;Ciencia
19665;Aplicaciones de lactato como novedosa estrategia anti-inflamatoria en mucosas: evaluación de su efectividad en modelos de enfermedad inflamatoria intestinal y de los mecanismos celulares y moleculares involucrados;28/12/16;28/2/17;1300000;1300000;3;2;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19667;Técnicas de proyección y filtrado óptico para la visión asistida;13/7/16;13/10/16;6000000;6000000;SIN DATOS;SIN DATOS;SIN DATOS;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
